all, 06 07 35 19 17 07 35 24 29 15 04 12 00 14 17 10 01 36 36 25 10 05 03 06 30 23 13 25 20 00 02 17 04 33 31 15 10 16 27 26 29 07 13 28 06 31 26 29 33 30 33 22 08 03 25 24 07 17 05 01 27 27 04 13 01 04 29 39 30 25 05 01 04 06 27 40 40 12 29 26 14 07 13 23 22 22 13 35 24 13 40 36 07 19 05 14 26 18 29 23 07 35 19 17 07 35 24 29 15 04 12 04 14 17 10 01 36 36 25 10 05 03 06 30 05 02 06 20 00 17 20 04 33 31 15 10 16 23 21 28 07 01 09 02 31 26 29 33 30 33 08 25 35 15 40 00 39 26 05 25 26 13 10 19 16 32 08 34 21 16 09 07 30 30 25 15 28 12 31 31 34 03 36 01 35 27 11 35 08 15 05 35 22 07 14 34 02 36 13 29 36 23 22 07 35 19 17 07 35 24 29 15 04 12 04 28 17 10 01 36 36 25 10 05 03 06 30 28 11 07 11 20 09 32 01 31 08 23 12 17 35 09 33 23 34 26 16 15 07 26 01 35 33 36 08 23 03 33 09 02 23 24 27 16 35 28 22 24 06 06 04 13 10 25 12 04 00 13 25 04 01 28 09 18 26 19 36 07 13 01 02 03 25 02 31 12 26 13 15 26 00 13 13 33 06 36 16 06 19 05 01 02 27 23 12 10 02 24 35 23 07 08 19 26 21 07 13 02 24 22 31 18 33 28 17 02 33 02 34 24 07 12 10 10 06 12 05 06 09 20 06 10 08 01 10 07 07 39 26 08 07 22 01 35 29 32 36 29 28 13 01 03 32 05 35 12 36 06 09 35 31 02 13 21 35 14 08 11 17 34 28 28 10 11 36 08 22 20 25 06 00 06 32 05 37 26 01 36 14 25 05 01 05 28 26 13 14 03 27 14 35 03 25 08 19 00 01 11 10 26 34 35 33 33 22 37 17 02 34 32 30 03 36 00 01 10 18 32 29 35 26 06 30 04 24 11 13 01 26 19 07 02 02 08 02 09 25 23 01 03 22 10 05 14 08 31 34 11 18 01 31 27 22 35 17 01 16 03 09 13 03 25 09 13 00 26 37 03 12 36 01 12 27 02 35 19 19 13 36 23 26 07 31 35 23 07 22 09 02 34 30 27 23 12 28 11 01 03 27 25 36 15 03 22 12 28 29 26 01 17 09 13 03 39 13 27 21 36 15 16 04 17 17 12 26 04 38 01 17 21 08 19 20 11 05 15 35 06 23 12 14 11 39 17 02 38 06 07 33 25 34 08 18 22 07 15 13 30 36 33 21 15 03 31 38 18 23 22 32 30 02 09 24 10 22 32 11 14 21 19 09 13 29 31 02 11 05 32 16 32 15 05 25 06 05 28 22 06 40 13 23 28 26 02 23 10 02 06 06 26 07 05 12 08 29 09 11 02 10 20 09 26 10 01 20 25 03 35 31 24 37 23 10 06 36 10 38 14 15 06 40 04 02 02 22 01 24 09 36 13 12 24 40 05 08 19 00 01 00 01 28 37 06 31 29 03 35 17 02 34 32 25 19 19 03 05 14 31 07 05 04 35 09 16 03 33 31 36 10 02 03 10 15 24 10 29 10 16 11 03 34 33 31 01 24 32 38 03 06 36 11 05 07 11 01 04 03 07 06 37 08 30 30 11 33 07 27 27 34 15 35 25 34 32 07 11 07 09 23 09 11 03 13 35 39 29 24 14 16 02 25 13 22 32 20 06 26 25 12 11 05 23 35 28 15 31 09 10 01 37 16 16 07 08 19 00 01 00 01 28 37 06 08 04 02 35 17 02 34 32 25 19 19 03 05 34 23 31 22 13 31 01 14 25 27 27 03 01 23 35 29 03 25 11 28 07 19 30 18 03 14 37 31 08 04 09 12 13 10 09 39 09 06 13 06 15 35 12 22 13 28 27 09 31 20 23 25 09 32 24 18 37 27 14 11 11 07 17 18 27 06 35 05 23 08 23 31 35 25 17 12 28 20 03 25 20 36 32 24 18 22 24 08 07 02 26 00 13 00 09 08 05 21 08 19 00 01 00 01 28 37 06 32 20 29 37 17 02 34 32 25 19 19 03 05 22 22 19 05 31 35 11 12 08 33 25 34 11 25 28 37 15 24 10 08 10 17 11 02 36 18 12 30 10 08 05 24 13 21 01 12 05 18 01 07 01 07 22 22 07 05 33 22 22 16 17 25 04 17 28 09 17 17 25 30 07 29 07 39 05 18 01 25 02 14 02 12 01 06 40 23 18 21 31 13 09 23 36 10 34 17 35 40 05 29 32
East1, 06 07 35 19 17 07 35 24 29 15 04 12 00 14 17 10 01 36 36 25 10 05 03 06 30 23 13 25 20 00 02 17 04 33 31 15 10 16 27 26 29 07 13 28 06 31 26 29 33 30 33 22 08 03 25 24 07 17 05 01 27 27 04 13 01 04 29 39 30 25 05 01 04 06 27 40 40 12 29 26 14 07 13 23 22 22 13 35 24 13 40 36 07 19 05 14 26 18 29
West1, 23 07 35 19 17 07 35 24 29 15 04 12 04 14 17 10 01 36 36 25 10 05 03 06 30 05 02 06 20 00 17 20 04 33 31 15 10 16 23 21 28 07 01 09 02 31 26 29 33 30 33 08 25 35 15 40 00 39 26 05 25 26 13 10 19 16 32 08 34 21 16 09 07 30 30 25 15 28 12 31 31 34 03 36 01 35 27 11 35 08 15 05 35 22 07 14 34 02 36 13 29 36 23
East2, 22 07 35 19 17 07 35 24 29 15 04 12 04 28 17 10 01 36 36 25 10 05 03 06 30 28 11 07 11 20 09 32 01 31 08 23 12 17 35 09 33 23 34 26 16 15 07 26 01 35 33 36 08 23 03 33 09 02 23 24 27 16 35 28 22 24 06 06 04 13 10 25 12 04 00 13 25 04 01 28 09 18 26 19 36 07 13 01 02 03 25 02 31 12 26 13 15 26 00 13 13 33 06 36 16 06 19 05 01 02 27 23 12 10 02 24 35 23
West2, 07 08 19 26 21 07 13 02 24 22 31 18 33 28 17 02 33 02 34 24 07 12 10 10 06 12 05 06 09 20 06 10 08 01 10 07 07 39 26 08 07 22 01 35 29 32 36 29 28 13 01 03 32 05 35 12 36 06 09 35 31 02 13 21 35 14 08 11 17 34 28 28 10 11 36 08 22 20 25 06 00 06 32 05 37 26 01 36 14 25 05 01 05 28 26 13 14 03 27 14 35 03
East3, 25 08 19 00 01 11 10 26 34 35 33 33 22 37 17 02 34 32 30 03 36 00 01 10 18 32 29 35 26 06 30 04 24 11 13 01 26 19 07 02 02 08 02 09 25 23 01 03 22 10 05 14 08 31 34 11 18 01 31 27 22 35 17 01 16 03 09 13 03 25 09 13 00 26 37 03 12 36 01 12 27 02 35 19 19 13 36 23 26 07 31 35 23 07 22 09 02 34 30 27 23 12 28 11 01 03 27 25 36 15 03 22 12 28 29 26 01 17 09 13 03 39 13 27 21 36 15 16 04 17 17 12 26 04 38 01 17
West3, 21 08 19 20 11 05 15 35 06 23 12 14 11 39 17 02 38 06 07 33 25 34 08 18 22 07 15 13 30 36 33 21 15 03 31 38 18 23 22 32 30 02 09 24 10 22 32 11 14 21 19 09 13 29 31 02 11 05 32 16 32 15 05 25 06 05 28 22 06 40 13 23 28 26 02 23 10 02 06 06 26 07 05 12 08 29 09 11 02 10 20 09 26 10 01 20 25 03 35 31 24 37 23 10 06 36 10 38 14 15 06 40 04 02 02 22 01 24 09 36 13 12 24 40
East4, 05 08 19 00 01 00 01 28 37 06 31 29 03 35 17 02 34 32 25 19 19 03 05 14 31 07 05 04 35 09 16 03 33 31 36 10 02 03 10 15 24 10 29 10 16 11 03 34 33 31 01 24 32 38 03 06 36 11 05 07 11 01 04 03 07 06 37 08 30 30 11 33 07 27 27 34 15 35 25 34 32 07 11 07 09 23 09 11 03 13 35 39 29 24 14 16 02 25 13 22 32 20 06 26 25 12 11 05 23 35 28 15 31 09 10 01 37 16 16
West4, 07 08 19 00 01 00 01 28 37 06 08 04 02 35 17 02 34 32 25 19 19 03 05 34 23 31 22 13 31 01 14 25 27 27 03 01 23 35 29 03 25 11 28 07 19 30 18 03 14 37 31 08 04 09 12 13 10 09 39 09 06 13 06 15 35 12 22 13 28 27 09 31 20 23 25 09 32 24 18 37 27 14 11 11 07 17 18 27 06 35 05 23 08 23 31 35 25 17 12 28 20 03 25 20 36 32 24 18 22 24 08 07 02 26 00 13 00 09 08 05
East5, 21 08 19 00 01 00 01 28 37 06 32 20 29 37 17 02 34 32 25 19 19 03 05 22 22 19 05 31 35 11 12 08 33 25 34 11 25 28 37 15 24 10 08 10 17 11 02 36 18 12 30 10 08 05 24 13 21 01 12 05 18 01 07 01 07 22 22 07 05 33 22 22 16 17 25 04 17 28 09 17 17 25 30 07 29 07 39 05 18 01 25 02 14 02 12 01 06 40 23 18 21 31 13 09 23 36 10 34 17 35 40 05 29 32
